categoryId,type,target,reading,meaning,example,exampleMeaning,question,optionA,optionB,optionC,optionD,answer
n3-condition-result,grammar,〜ば〜ほど,,"the more ... the more ...","練習すればするほど、話すのが楽になります。","The more you practice, the easier speaking becomes.","Choose the best meaning of 「練習すればするほど」.","The more you practice","Even if you practice","Before you practice","Instead of practicing",0
n3-condition-result,vocab,結果,けっか,"result; outcome","試験の結果は来週わかります。","The exam result will be known next week.","What does 「結果」 mean?",result,reason,method,memory,0
n3-condition-result,grammar,〜たとたん,,"as soon as; the moment","家を出たとたん、雨が降り始めました。","As soon as I left home, it started raining.","「家を出たとたん」 means:","as soon as I left home","because I left home","unless I leave home","while I was leaving home",0
n3-daily-life,vocab,片付ける,かたづける,"to tidy up; to put away","寝る前に机を片付けます。","I tidy my desk before sleeping.","Choose the meaning of 「片付ける」.","to tidy up","to boil","to compare","to invite",0
n3-daily-life,grammar,〜っぱなし,,"leaving something in the same state","電気をつけっぱなしにしないでください。","Please do not leave the light on.","「つけっぱなし」 is closest to:","left turned on","turned on by mistake once","must turn on","cannot turn on",0
n3-daily-life,vocab,準備,じゅんび,preparation,"明日の準備をしました。","I prepared for tomorrow.","What does 「準備」 mean?",preparation,permission,promise,pressure,0
n3-feelings-requests,grammar,〜てほしい,,"want someone to do something","先生にもう一度説明してほしいです。","I want the teacher to explain it one more time.","「説明してほしい」 means:","I want someone to explain","I explained already","I was forced to explain","I should not explain",0
n3-feelings-requests,vocab,不安,ふあん,"anxiety; worry","面接の前は少し不安になります。","Before an interview, I feel a little anxious.","What does 「不安」 mean?",anxiety,habit,proof,discount,0
n3-feelings-requests,grammar,〜たがる,,"someone seems to want to do something","弟は新しいゲームを買いたがっています。","My younger brother seems to want to buy a new game.","「買いたがっています」 means:","seems to want to buy","forgot to buy","is allowed to buy","stopped buying",0
n3-feelings-requests,vocab,頼む,たのむ,"to ask; to request","友だちに手伝いを頼みました。","I asked a friend for help.","Choose the meaning of 「頼む」.","to ask","to dry","to fix","to lose",0
n3-work-school,grammar,〜ことになっている,,"be scheduled to; be decided that","来月から新しい教室で勉強することになっています。","It has been decided that we will study in a new classroom from next month.","「勉強することになっています」 means:","it has been decided that we will study","we may not study","we studied by accident","we almost studied",0
n3-work-school,vocab,提出,ていしゅつ,"submission; handing in","レポートの提出は金曜日です。","The report submission is on Friday.","What does 「提出」 mean?",submission,salary,absence,training,0
n3-work-school,grammar,〜ようにする,,"try to; make sure to","毎日少し日本語を読むようにしています。","I try to read a little Japanese every day.","「読むようにしています」 means:","I try to read","I cannot read","I finished reading","I was told not to read",0
n3-work-school,vocab,会議,かいぎ,"meeting; conference","午後三時から会議があります。","There is a meeting from 3 p.m.","Choose the meaning of 「会議」.",meeting,receipt,entrance,weather,0
n3-comparison-amount,grammar,〜ほど〜ない,,"not as ... as ...","今日は昨日ほど寒くないです。","Today is not as cold as yesterday.","「昨日ほど寒くない」 means:","not as cold as yesterday","colder than yesterday","as cold as yesterday","cold only yesterday",0
n3-comparison-amount,vocab,以上,いじょう,"more than; at least","三十分以上待ちました。","I waited for more than thirty minutes.","What does 「以上」 mean here?","more than","less than",almost,separately,0
n3-comparison-amount,grammar,〜くらい,,"about; approximately; to the extent","歩けないくらい疲れました。","I was so tired that I could not walk.","「歩けないくらい疲れました」 means:","I was so tired I could not walk","I walked because I was tired","I was not tired enough","I became tired after walking",0
n3-comparison-amount,vocab,割合,わりあい,"ratio; proportion","若い人の割合が増えています。","The proportion of young people is increasing.","Choose the meaning of 「割合」.",proportion,promise,mistake,direction,0
n2-opinion-judgment,grammar,〜にすぎない,,"nothing more than; merely","これは一つの例にすぎません。","This is nothing more than one example.","「一つの例にすぎません」 means:","it is merely one example","it is not an example","it is the best example","it is similar to an example",0
n2-opinion-judgment,vocab,判断,はんだん,"judgment; decision","状況を見て判断してください。","Please judge after looking at the situation.","What does 「判断」 mean?",judgment,translation,population,equipment,0
n2-opinion-judgment,grammar,〜からすると,,"from the viewpoint of; judging from","彼の表情からすると、試験は難しかったようです。","Judging from his expression, the exam seems to have been hard.","「彼の表情からすると」 means:","judging from his expression","because of his expression","until his expression changed","without seeing his expression",0
n2-contrast-exception,grammar,〜にもかかわらず,,"despite; although","雨にもかかわらず、多くの人が集まりました。","Despite the rain, many people gathered.","「雨にもかかわらず」 means:","despite the rain","because of the rain","before the rain","without rain",0
