categoryId,type,target,reading,meaning,example,exampleMeaning,question,optionA,optionB,optionC,optionD,answer
n3-condition-result,vocab,条件,じょうけん,condition,この条件をよく確認してから、次の作業を始めます。,I check this condition carefully before starting the next task.,What is the closest meaning of 「条件」?,method,boredom,procedure,condition,3
n3-condition-result,vocab,結果,けっか,result,この結果をよく確認してから、次の作業を始めます。,I check this result carefully before starting the next task.,What is the closest meaning of 「結果」?,procedure,experience,result,agreement,2
n3-condition-result,vocab,成功,せいこう,success,この成功をよく確認してから、次の作業を始めます。,I check this success carefully before starting the next task.,What is the closest meaning of 「成功」?,length,safety,confirmation,success,3
n3-condition-result,vocab,失敗,しっぱい,failure,この失敗をよく確認してから、次の作業を始めます。,I check this failure carefully before starting the next task.,What is the closest meaning of 「失敗」?,reply,intersection,failure,part,2
n3-condition-result,vocab,準備,じゅんび,preparation,この準備をよく確認してから、次の作業を始めます。,I check this preparation carefully before starting the next task.,What is the closest meaning of 「準備」?,preparation,hiring,luggage or package,case or situation,0
n3-condition-result,vocab,確認,かくにん,confirmation,この確認をよく確認してから、次の作業を始めます。,I check this confirmation carefully before starting the next task.,What is the closest meaning of 「確認」?,shortage,plan,written sentence,confirmation,3
n3-condition-result,vocab,予定,よてい,schedule,この予定をよく確認してから、次の作業を始めます。,I check this schedule carefully before starting the next task.,What is the closest meaning of 「予定」?,to get angry,schedule,minority,approximately,1
n3-condition-result,vocab,計画,けいかく,plan,この計画をよく確認してから、次の作業を始めます。,I check this plan carefully before starting the next task.,What is the closest meaning of 「計画」?,training,lunch,plan,bath,2
n3-condition-result,vocab,理由,りゆう,reason,この理由をよく確認してから、次の作業を始めます。,I check this reason carefully before starting the next task.,What is the closest meaning of 「理由」?,directions,practice,reason,caution,2
n3-condition-result,vocab,原因,げんいん,cause,この原因をよく確認してから、次の作業を始めます。,I check this cause carefully before starting the next task.,What is the closest meaning of 「原因」?,report,cause,office,degree,1
n3-condition-result,vocab,方法,ほうほう,method,この方法をよく確認してから、次の作業を始めます。,I check this method carefully before starting the next task.,What is the closest meaning of 「方法」?,exam,confirmation,hiring,method,3
n3-condition-result,vocab,目的,もくてき,purpose,この目的をよく確認してから、次の作業を始めます。,I check this purpose carefully before starting the next task.,What is the closest meaning of 「目的」?,fever,purpose,absence,completion,1
n3-condition-result,vocab,場合,ばあい,case or situation,この場合をよく確認してから、次の作業を始めます。,I check this case or situation carefully before starting the next task.,What is the closest meaning of 「場合」?,number of people,case or situation,order,break,1
n3-condition-result,vocab,問題,もんだい,problem,この問題をよく確認してから、次の作業を始めます。,I check this problem carefully before starting the next task.,What is the closest meaning of 「問題」?,materials,review study,method,problem,3
n3-condition-result,vocab,解決,かいけつ,solution,この解決をよく確認してから、次の作業を始めます。,I check this solution carefully before starting the next task.,What is the closest meaning of 「解決」?,difference,driving,extra time or room,solution,3
n3-condition-result,vocab,選択,せんたく,choice,この選択をよく確認してから、次の作業を始めます。,I check this choice carefully before starting the next task.,What is the closest meaning of 「選択」?,trash,choice,caution,half,1
n3-condition-result,vocab,必要,ひつよう,necessity,この必要をよく確認してから、次の作業を始めます。,I check this necessity carefully before starting the next task.,What is the closest meaning of 「必要」?,wallet,good at,consultation,necessity,3
n3-condition-result,vocab,可能,かのう,possibility,この可能をよく確認してから、次の作業を始めます。,I check this possibility carefully before starting the next task.,What is the closest meaning of 「可能」?,possibility,to laugh,solution,procedure,0
