id,level,category,description
n3-condition-result,N3,Condition and result,"Useful patterns for cause, condition, and expected outcomes."
n3-daily-life,N3,Daily life actions,"Practical words and grammar for everyday habits and chores."
n3-feelings-requests,N3,Feelings and requests,"Patterns for wishes, requests, and emotional reactions."
n3-work-school,N3,Work and school,"Common words and grammar for study, jobs, and schedules."
n3-comparison-amount,N3,Comparison and amount,"Expressions for limits, quantities, and comparing situations."
n2-opinion-judgment,N2,Opinion and judgment,"Higher-level grammar for views, standards, and evaluation."
n2-contrast-exception,N2,Contrast and exception,"Patterns for contrast, unexpected results, and exceptions."
n2-formal-situations,N2,Formal situations,"Useful language for news, notices, business, and public contexts."
n2-cause-consequence,N2,Cause and consequence,"Patterns for reasons, influences, and resulting states."
n2-change-progress,N2,Change and progress,"Expressions about trends, gradual change, and development."
